slug,display_name,variant_count,snapshots,csv_query_aliases
gpt-3.5,GPT 3.5,2,gpt-3-5-turbo-0613 | gpt-35-turbo,
gpt-4,GPT 4,2,gpt-4 | gpt-4-turbo,
gpt-4.1,GPT 4.1,3,gpt-4-1 | gpt-4-1-mini | gpt-4-1-nano,
gpt-4.5,GPT 4.5,1,gpt-4-5,
gpt-5,GPT 5,12,gpt-5 | gpt-5-chatgpt | gpt-5-codex | gpt-5-low | gpt-5-medium | gpt-5-mini | gpt-5-mini-medium | gpt-5-mini-minimal | gpt-5-minimal | gpt-5-nano | gpt-5-nano-medium | gpt-5-nano-minimal,
gpt-5.1,GPT 5.1,4,gpt-5-1 | gpt-5-1-codex | gpt-5-1-codex-mini | gpt-5-1-non-reasoning,
gpt-5.2,GPT 5.2,4,gpt-5-2 | gpt-5-2-codex | gpt-5-2-medium | gpt-5-2-non-reasoning,
granite-3.3,Granite 3.3,1,granite-3-3-8b-instruct,
granite-4.0,Granite 4.0,6,granite-4-0-350m | granite-4-0-h-350m | granite-4-0-h-nano-1b | granite-4-0-h-small | granite-4-0-micro | granite-4-0-nano-1b,
grok,Grok,2,grok-beta | grok-voice,
grok-1,Grok 1,2,grok-1 | grok-code-fast-1,
grok-2,Grok 2,1,grok-2-1212,
grok-3,Grok 3,3,grok-3 | grok-3-mini-reasoning | grok-3-reasoning,
grok-4,Grok 4,3,grok-4 | grok-4-fast | grok-4-fast-reasoning,
grok-4.1,Grok 4.1,2,grok-4-1-fast | grok-4-1-fast-reasoning,
hyperclova-x-seed-think-32b,HyperCLOVA X SEED Think (32B),1,hyperclova-x-seed-think-32b,
intellect-3,INTELLECT 3,1,intellect-3,
jamba,Jamba,1,jamba-reasoning-3b,
jamba-1.5,Jamba 1.5,2,jamba-1-5-large | jamba-1-5-mini,
jamba-1.6,Jamba 1.6,2,jamba-1-6-large | jamba-1-6-mini,
jamba-1.7,Jamba 1.7,2,jamba-1-7-large | jamba-1-7-mini,
k2-v2,K2 V2,4,k2-think-v2 | k2-v2 | k2-v2-low | k2-v2-medium,
kat-coder-pro-v1,KAT Coder Pro V1,1,kat-coder-pro-v1,
kimi,Kimi,1,kimi-linear-48b-a3b-instruct,
kimi-k2,Kimi K2,3,kimi-k2 | kimi-k2-0905 | kimi-k2-thinking,
kimi-k2.5,Kimi K2.5,2,kimi-k2-5 | kimi-k2-5-non-reasoning,
lfm,LFM,1,lfm-40b,
lfm-2,LFM 2,3,lfm2-1-2b | lfm2-2-6b | lfm2-8b-a1b,
lfm-2.5,LFM 2.5,3,lfm2-5-1-2b-instruct | lfm2-5-1-2b-thinking | lfm2-5-vl-1-6b,
ling-1,Ling 1,1,ling-1t,
ling-2.0,Ling 2.0,2,ling-flash-2-0 | ling-mini-2-0,
llama,Llama,1,llama-65b,
llama-2,Llama 2,3,llama-2-chat-13b | llama-2-chat-70b | llama-2-chat-7b,
llama-3,Llama 3,2,llama-3-instruct-70b | llama-3-instruct-8b,
llama-3.1,Llama 3.1,13,deephermes-3-llama-3-1-8b-preview | hermes-3-llama-3-1-70b | hermes-4-llama-3-1-405b | hermes-4-llama-3-1-405b-reasoning | hermes-4-llama-3-1-70b | hermes-4-llama-3-1-70b-reasoning | llama-3-1-instruct-405b | llama-3-1-instruct-70b | llama-3-1-instruct-8b | llama-3-1-nemotron-instruct-70b | llama-3-1-nemotron-nano-4b-reasoning | llama-3-1-nemotron-ultra-253b-v1-reasoning | tulu3-405b,
llama-3.2,Llama 3.2,4,llama-3-2-instruct-11b-vision | llama-3-2-instruct-1b | llama-3-2-instruct-3b | llama-3-2-instruct-90b-vision,
llama-3.3,Llama 3.3,3,llama-3-3-instruct-70b | llama-3-3-nemotron-super-49b | llama-3-3-nemotron-super-49b-reasoning,
llama-4,Llama 4,2,llama-4-maverick | llama-4-scout,
llama-5,Llama 5,2,llama-nemotron-super-49b-v1-5 | llama-nemotron-super-49b-v1-5-reasoning,
magistral-1,Magistral 1,2,magistral-medium | magistral-small,
magistral-1.2,Magistral 1.2,2,magistral-medium-2509 | magistral-small-2509,
mi-dm-k-2.5-pro,Mi:dm K 2.5 Pro,2,mi-dm-k-2-5-pro-dec28 | midm-250-pro-rsnsft,
mimo-v2-flash,MiMo V2 Flash,2,mimo-v2-flash | mimo-v2-flash-reasoning,
mimo-v2-flash-feb-2026,MiMo V2 Flash (Feb 2026),1,mimo-v2-0206,
minimax-m1,MiniMax M1,2,minimax-m1-40k | minimax-m1-80k,
minimax-m2,MiniMax M2,1,minimax-m2,
minimax-m2.1,MiniMax M2.1,1,minimax-m2-1,
minimax-m2.5,MiniMax M2.5,1,minimax-m2-5,
ministral-3,Ministral 3,3,ministral-3-14b | ministral-3-3b | ministral-3-8b,
mistral,Mistral,6,mistral-7b-instruct | mistral-large | mistral-medium | mistral-saba | mistral-small | mistral-small-2402,
mistral-2,Mistral 2,2,mistral-large-2 | mistral-large-2407,
mistral-3,Mistral 3,4,deephermes-3-mistral-24b-preview | mistral-large-3 | mistral-medium-3 | mistral-small-3,
mistral-3.1,Mistral 3.1,2,mistral-medium-3-1 | mistral-small-3-1,
mistral-3.2,Mistral 3.2,1,mistral-small-3-2,
mixtral-8x22b,Mixtral 8x22B,1,mistral-8x22b-instruct,
mixtral-8x7b,Mixtral 8x7B,1,mixtral-8x7b-instruct,
motif-2-12.7b-reasoning,Motif 2 12.7B Reasoning,1,motif-2-12-7b,
nova,Nova,4,nova-lite | nova-micro | nova-premier | nova-pro,
nova-2.0,Nova 2.0,9,nova-2-0-lite | nova-2-0-lite-reasoning-low | nova-2-0-lite-reasoning-medium | nova-2-0-omni | nova-2-0-omni-reasoning-low | nova-2-0-omni-reasoning-medium | nova-2-0-pro | nova-2-0-pro-reasoning-low | nova-2-0-pro-reasoning-medium,
nvidia-nemotron,NVIDIA Nemotron,4,nvidia-nemotron-nano-12b-v2-vl | nvidia-nemotron-nano-12b-v2-vl-reasoning | nvidia-nemotron-nano-9b-v2 | nvidia-nemotron-nano-9b-v2-reasoning,
nvidia-nemotron-3,NVIDIA Nemotron 3,2,nvidia-nemotron-3-nano-30b-a3b | nvidia-nemotron-3-nano-30b-a3b-reasoning,
o1,O1,4,o1 | o1-mini | o1-preview | o1-pro,
o3,O3,4,o3 | o3-mini | o3-mini-high | o3-pro,
o4,O4,1,o4-mini,
olmo,OLMo,1,molmo-7b-d,
olmo-2,OLMo 2,3,molmo2-8b | olmo-2-32b | olmo-2-7b,
olmo-3,OLMo 3,3,olmo-3-32b-think | olmo-3-7b-instruct | olmo-3-7b-think,
olmo-3.1,OLMo 3.1,2,olmo-3-1-32b-instruct | olmo-3-1-32b-think,
openchat-3.5,OpenChat 3.5,1,openchat-35,
palm-2,PALM 2,1,palm-2,
phi-3,Phi 3,1,phi-3-mini,
phi-4,Phi 4,3,phi-4 | phi-4-mini | phi-4-multimodal,
pixtral-large,Pixtral Large,1,pixtral-large-2411,
qwen,Qwen,2,qwen-chat-14b | qwen-chat-72b,
qwen-1.5,Qwen 1.5,1,qwen1.5-110b-chat,
qwen-2,Qwen 2,1,qwen2-72b-instruct,
qwen-2.5,Qwen 2.5,6,qwen-2-5-max | qwen-turbo | qwen2-5-72b-instruct | qwen2-5-coder-32b-instruct | qwen2-5-coder-7b-instruct | qwen2.5-32b-instruct,
qwen-3,Qwen 3,43,qwen3-0.6b-instruct | qwen3-0.6b-instruct-reasoning | qwen3-1.7b-instruct | qwen3-1.7b-instruct-reasoning | qwen3-14b-instruct | qwen3-14b-instruct-reasoning | qwen3-235b-a22b-instruct | qwen3-235b-a22b-instruct-2507 | qwen3-235b-a22b-instruct-2507-reasoning | qwen3-235b-a22b-instruct-reasoning | qwen3-30b-a3b-2507 | qwen3-30b-a3b-2507-reasoning | qwen3-30b-a3b-instruct | qwen3-30b-a3b-instruct-reasoning | qwen3-32b-instruct | qwen3-32b-instruct-reasoning | qwen3-4b-2507-instruct | qwen3-4b-2507-instruct-reasoning | qwen3-4b-instruct | qwen3-4b-instruct-reasoning | qwen3-8b-instruct | qwen3-8b-instruct-reasoning | qwen3-coder-30b-a3b-instruct | qwen3-coder-480b-a35b-instruct | qwen3-coder-next | qwen3-max | qwen3-max-preview | qwen3-max-thinking | qwen3-max-thinking-preview | qwen3-next-80b-a3b-instruct | qwen3-next-80b-a3b-reasoning | qwen3-omni-30b-a3b-instruct | qwen3-omni-30b-a3b-reasoning | qwen3-vl-235b-a22b-instruct | qwen3-vl-235b-a22b-reasoning | qwen3-vl-30b-a3b-instruct | qwen3-vl-30b-a3b-reasoning | qwen3-vl-32b-instruct | qwen3-vl-32b-reasoning | qwen3-vl-4b-instruct | qwen3-vl-4b-reasoning | qwen3-vl-8b-instruct | qwen3-vl-8b-reasoning,
qwen-3.5,Qwen 3.5,2,qwen3-5-397b-a17b | qwen3-5-397b-a17b-non-reasoning,
qwq,QwQ,1,qwq-32b,
qwq-preview,QwQ Preview,1,QwQ-32B-Preview,
r1,R1,1,r1-1776,
reka-flash,Reka Flash,1,reka-flash,
reka-flash-3,Reka Flash 3,1,reka-flash-3,
ring-1t,Ring 1T,1,ring-1t,
ring-flash-2.0,Ring flash 2.0,1,ring-flash-2-0,
seed-oss-36b-instruct,Seed OSS 36B Instruct,1,seed-oss-36b-instruct,
solar,Solar,2,solar-mini | solar-open-100b-reasoning,
solar-2,Solar 2,4,solar-pro-2 | solar-pro-2-preview | solar-pro-2-preview-reasoning | solar-pro-2-reasoning,
sonar,Sonar,4,sonar | sonar-pro | sonar-reasoning | sonar-reasoning-pro,
step3-vl,Step3 VL,1,step3-vl-10b,
tiny-aya-global,Tiny Aya Global,1,tiny-aya-global,
tri-21b-think,Tri 21B Think,2,tri-21b-think-preview | tri-21b-think-v0-5,
