uid,platform,query,post_date,source_url,title,author,like_count,comment_count,collect_count,overall_score,score_quality,score_value,score_latency,score_throughput,score_stability,pros_summary,cons_summary,overall_summary,evidence,fetched_at,run_id,tag
xhs:698d87de0000000028020ccb,xhs,GLM5,2026/02/12,https://www.xiaohongshu.com/explore/698d87de0000000028020ccb,只能这样了,吴玮杰Richard,114,78,16,3,4,2,0,2,2,模型变强了,涨价了、客服回复变慢、套餐买不到、Pro版还没上、大客户并发不够用,,GLM-5上线半天多，已知问题：变强了、涨价了、客服回复慢了、套餐买不到了、Pro版本还没上、大客户并发不够用；大家别急，急也没用，模型和MaaS技术团队已火力全开，业务团队已全员技术客服状态了，资源很快就补上，人手也加速招聘，只能这样了。,2026/02/26 18:56,20260226_185123_m0copg,"价格上涨,并发不足,服务不稳定,新模型发布,用户理解"
xhs:699ea42e0000000015033e00,xhs,GLM5,2026/02/25,https://www.xiaohongshu.com/explore/699ea42e0000000015033e00,阿里云百炼Coding Plan:国产AI王牌ALL IN!,阿卫前传😍,62,24,46,4,4,4,0,0,0,GLM-5编程能力突出，定价相比国际竞品更具竞争力，Lite套餐首月仅¥7.9，Pro套餐¥39.9,刚上线不久，开发者生态还在建设中，需要时间验证实际效果,,文中明确提到「GLM-5：编程能力突出」，定价上「阿里云的定价更激进，目标是开发者心智占位」,2026/02/26 18:56,20260226_185123_m0copg,"阿里云,国产AI,aicoding,阿里云百炼,codingplan,千问,智谱AI,GLM-5"
xhs:698d306a000000001a034a1c,xhs,GLM5,2026/02/12,https://www.xiaohongshu.com/explore/698d306a000000001a034a1c,智谱涨价就算了，怎么glm5还不让用捏,星空与大锤,27,81,6,1,0,1,0,0,0,,价格涨了，GLM5还只能在max套餐才能用,用户对智谱ai的定价和模型获取限制非常不满，表示涨价可以忍，但glm5只能max套餐用让人无法接受,最低档套餐我记得以前20左右吧 然后glm5只有max套餐才能用了,2026/02/26 18:56,20260226_185123_m0copg,"价格,套餐限制,性价比"
xhs:698ed7c5000000000a0283da,xhs,GLM5,2026/02/13,https://www.xiaohongshu.com/explore/698ed7c5000000000a0283da,蹲点抢到GLM-5，立刻搓了个斗地主版小丑牌,水的离子积,47,2,33,5,5,5,0,0,4,能自主启动多个Agent协同工作，可以自己把活从头到尾干完；能识别斗地主复杂牌型规则（顺子连对飞机、筹码倍率、商店轮抽、盲注递进）；具备自我debug能力；适合需要拆模块、搭架构的项目，可作为Opus平替,快速出小demo的话和其他工具差别不大,,用户让GLM-5把小丑牌的德州扑克换成斗地主规则，模型直接启动4个Agent分别负责UI设计、牌型算分、游戏机制、视觉风格，并自行debug完成开发；能正确识别斗地主顺子连对飞机等牌型，实现筹码倍率商店轮抽盲注递进等功能,2026/02/26 18:57,20260226_185123_m0copg,"智谱,AI编程,Agentic,GLM-5,自主能力,复杂项目,Opus平替"
xhs:69907a6b00000000150212eb,xhs,GLM5,2026/02/14,https://www.xiaohongshu.com/explore/69907a6b00000000150212eb,英伟达开放了 GLM-5 ，API可以免费用,程序猿DD,22,4,26,3,0,4,0,0,0,免费API，可使用OpenAI兼容模式接入,需要注册申请key，有一定门槛,,用户分享英伟达开放GLM-5免费API的资源，需要去官网注册申请key，然后使用OpenAI兼容模式接入,2026/02/26 18:57,20260226_185123_m0copg,"免费API,GLM-5,教程"
xhs:698e1b65000000000b0133e2,xhs,GLM5,2026/02/13,https://www.xiaohongshu.com/explore/698e1b65000000000b0133e2,优质模型的 token 才是硬通货,meditic,37,4,14,4,4,5,0,0,0,效果类似2025年Sonnet 4水平，结果直接可用，小项目性价比不错,,,GLM-5跑完的结果是直接可用的，我的第一反应是效果类似2025年Sonnet 4的水平。对于小项目，性价比还是不错的,2026/02/26 18:57,20260226_185123_m0copg,"GLM-5,性价比,前端开发,代码生成"
xhs:6996916f0000000028021161,xhs,GLM5,2026/02/19,https://www.xiaohongshu.com/explore/6996916f0000000028021161,GLM5做不了一点前端，真的拉爆了,机因君,7,15,1,1,0,0,0,0,0,,理解能力为零，乱改设计把圆形改方形还加黑东西，比去年4.7���垃圾，不如豆包,,用户尝试让GLM5生成一个勾选图标，结果模型理解能力0分，不仅把原来圆的改成方的，还里面加了一个黑的东西。用户表示这比去年的4.7还垃圾，不如豆包，不知道为什么这么多人吹,2026/02/26 18:58,20260226_185123_m0copg,"前端编码差,理解能力差,输出错误,不如竞品,不如旧版本"
xhs:6995ed9d000000000a02c6ae,xhs,GLM5,2026/02/19,https://www.xiaohongshu.com/explore/6995ed9d000000000a02c6ae,GLM/Deepseek/Gemini接口速率和并发限制,小红薯663CB4FD,7,4,6,2,0,0,1,2,3,Deepseek并发很高，测到50并发未报错；GLM-4.7-flash免费模型并发限制与官网标注一致,GLM速度奇慢无比，与直观感受一致；GLM Pro标注并发为1实际约7，容易超出预期；Gemini响应时间较长,,晚上11-12点测试，GLM端口速率确实很慢。GLM Pro实测并发约7，建议配置sub agent设置在5以内。GLM-4.7-flash免费模型并发为1。Deepseek测到50并发无报错。,2026/02/26 18:59,20260226_185123_m0copg,"api限制,并发测试,速率测试,智谱,deepseek,gemini,glm"
xhs:698d358f0000000015023900,xhs,GLM5,2026/02/12,https://www.xiaohongshu.com/explore/698d358f0000000015023900,GLM-5正式上线，但Coding Plan涨价！,bald0wang,14,12,11,3,4,2,0,0,0,参数规模744B很猛，Coding能力对齐Claude Opus 4.5，Agent长程任务执行能力强，已适配国产芯片，Excel插件Beta版很实用,Coding Plan涨价30%起，首购优惠取消，2月12日生效,,官方同步发布了GLM Coding Plan价格调整函，主要变化是取消首购优惠，保留按季和按年订阅优惠，套餐整体涨幅30%起，2026年2月12日生效,2026/02/26 19:00,20260226_185123_m0copg,"GLM5,大模型,AgenticEngineering,价格调整,Excel插件"
xhs:699e985d000000000e00c9eb,xhs,GLM5,2026/02/25,https://www.xiaohongshu.com/explore/699e985d000000000e00c9eb,程序员福音！GLM5羊毛被我薅到了,小红薯5C84B258,1,0,0,5,4,5,4,4,0,价格只要1元/天，比官方和阿里百炼都便宜；调用量是官方的2倍、阿里的3倍；速度快；在OpenClaw和Claude Code上都能用,暂时没发现什么缺点,,买的联通元景MaaS出的GLM5 大模型 Coding Plan 套餐，一天是1块钱。调用量测了下大概是官方的 2 倍，阿里的 3 倍。我跑在OpenClaw上速度还行很快，Claude Code也能使,2026/02/26 19:00,20260226_185123_m0copg,"便宜,高性价比,开发工具,GLM5,OpenClaw,薅羊毛"
xhs:699039b0000000000a033991,xhs,Kimi2.5,2026/02/14,https://www.xiaohongshu.com/explore/699039b0000000000a033991,给Openclaw选个靠谱的脑子太重要了,Cage的思考碎片,40,77,34,4,4,4,0,0,0,提醒大家选择智能模型很重要,暗示Kimi 2.5回答质量不如ChatGPT 5.3,,左图是kimi2.5的回答，右图是切到ChatGPT5.3的回答，天壤之别，用Openclaw一定要选聪明的脑子！！！,2026/02/26 22:21,20260226_221920_hy21h9,"模型对比,推荐,模型选择,Kimi,ChatGPT"
xhs:697e102e000000002202055c,xhs,Kimi2.5,2026/01/31,https://www.xiaohongshu.com/explore/697e102e000000002202055c,kimi k2.5太强了，有点离谱,小天,82,29,38,5,4,5,5,5,4,一个上下文窗口完成代码分析、模型下载、脚本编写、前后端开发；仅用10分钟；Qwen3 ASR时间戳对齐比whisperx和funasr都强；RL训练优化效果明显感知；几乎不需要调用工具就能完成任务,几乎无明显缺点，用户满意到要继续优化使用,,"让它先clone qwen3asr代码库，然后给它喂了一张剪映剪口播的图，让它分析字幕文件的时间戳，然后仿照剪映做一个剪口播。它在一个上下文窗口完成了Qwen3 ASR代码库的分析，下载模型，写脚本，写前后端。用了10分钟刚好一个上下文窗口，中间我加了两次需求它就全做出来了，而且前后端，剪辑加合成。我看了技术报告，在训练中做了优化Agent的策略的RL,这个真的是能感觉到的，就是没怎么用工具，任务就完成了？另外Qwen3 ASR的时间戳对齐比whisperx还有funasr都强，完全可以用于剪辑了",2026/02/26 19:40,20260226_193827_jpqbz9,"AI视频剪辑,Agent能力,代码生成,生产力工具,技术报告,Kimi"
xhs:697e05a9000000000b00ad70,xhs,Kimi2.5,2026/02/01,https://www.xiaohongshu.com/explore/697e05a9000000000b00ad70,用Kimi 2.5跑了一份茅台研报，16页,Alpha Mao,30,32,46,4,4,4,0,4,0,多Agent功能可以拆解复杂任务，让多个专家并行干活，适合处理多步骤研究任务；选择茅台是因为数据公开、分析维度多、易于验证质量,仅测试了单个案例，暂未看到与其他任务的对比,,用Kimi 2.5多Agent功能跑了一份16页的茅台研报测试,2026/02/26 19:41,20260226_193827_jpqbz9,"多Agent,研报,茅台,金融分析,复杂任务,并行处理"
xhs:698327d00000000021029f3d,xhs,Kimi2.5,2026/02/04,https://www.xiaohongshu.com/explore/698327d00000000021029f3d,难以置信的嘴犟，到底谁在吹kimi,wonderful王,25,52,2,1,1,1,0,0,2,,理解能力差，三次问gemini3价格都答成gemini2；无法正确理解用户意图，反复犯同样的错误,,用户三次纠正Kimi说的是gemini3不是gemini2，但Kimi始终坚持回答gemini2相关内容，最终用户取消49元月订阅,2026/02/26 19:41,20260226_193827_jpqbz9,"理解能力差,反复出错,取消订阅,国产模型"
xhs:699c834b000000001d010643,xhs,Kimi2.5,2026/02/24,https://www.xiaohongshu.com/explore/699c834b000000001d010643,任务复杂度，是模型能力的放大镜🔍,ZhenZhu,41,15,24,2,1,2,3,1,1,价格比Claude Code便宜700块，简单任务和中等等级任务都能处理，可以用来查看截图、生成结构化文档,复杂任务直接白屏，HTML打不开，完全跑不通；4%的差距在最难任务里是跑通和跑不通的区别,,用同一套文档跑同一任务：近一万行需求文档→6个agent并行→47个页面。Claude Code半小时搞定47页全跑出来，Kimi K2.5全是白屏HTML打不开,2026/02/26 19:52,20260226_195045_ixvzd3,"AI工具,VibeCoding,ClaudeCode,Kimi,AI开发,Claude"
xhs:699d6f2d000000000b01282a,xhs,Kimi2.5,2026/02/24,https://www.xiaohongshu.com/explore/699d6f2d000000000b01282a,OpenClaw调用榜第一，Kimi海外用户很猛！,菜头Prompt.AI,29,6,17,5,4,5,5,5,3,收入增长超猛，海外收入已超过国内；原生多模态架构底层视觉理解能力强；Agent集群可调度100个子Agent并行干活；输出速度103-116 tokens/秒，比DeepSeek V3.2快3倍；OpenRouter平台调用量连续领先，OpenClaw模型调用榜排第一,事实准确性不稳定，会把上个月发布的模型当成24小时新闻，API价格对比给错数据；视觉细节有盲区，复杂背景汉字识别不准，视觉计数偏差明显,,K2.5模型上线未满月，近20天累计收入完成2025年全年总量；海外付费用户增速猛；月之暗面两年多估值从3亿美元破100亿美元；Video to Code实测能还原90%复杂界面；拆60封股东信局部报错不影响整体,2026/02/26 19:52,20260226_195045_ixvzd3,"KimiK2_5,ai,科技资讯,vibecoding,打工人效率神器"
xhs:6979af6d000000000a02aa45,xhs,Kimi2.5,2026/01/28,https://www.xiaohongshu.com/explore/6979af6d000000000a02aa45,Kimi Code 半天用完额度,for now,33,14,7,5,4,0,0,0,0,写代码很干净，体验不错,半天就用完额度,,真是一场酣畅淋漓的试用，K2.5模型给我的感觉就是写代码很干净，体验不错，晚上就给最高档的Allegretto订阅了,2026/02/26 19:52,20260226_195045_ixvzd3,"正面,代码质量,订阅,试用体验"
xhs:698596be000000000e03fb9b,xhs,Kimi2.5,2026/02/06,https://www.xiaohongshu.com/explore/698596be000000000e03fb9b,kimi-k2.5 太离谱,俞成,20,24,3,1,0,1,0,1,1,,4.99元7天试用有额度限制，第三天就用掉79%，4小时内还有限制导致中断；普通会员49元/月太贵,,用到今天第三天，已经用掉79%额度了，根本不够用[笑哭R]一天之内还有一个限额！4小时内只能用一定的额度，导致跑着跑着就中断了，提示额度不够[石化R]而且普通会员就要49一个月，太贵了！,2026/02/26 19:53,20260226_195045_ixvzd3,"价格,额度限制,试用体验,中断"
xhs:6980bd250000000022022731,xhs,kimi2.5,2026/02/02,https://www.xiaohongshu.com/explore/6980bd250000000022022731,Kimi-K2.5 绷不住时刻1️⃣,谁不喜欢吃烤面筋,5,3,0,2,2,2,0,0,2,,输出格式出错导致编译失败,用CC接K2.5体验了一下，结果输出格式出错写成>-，浪费token，后面还导致编译失败被自动改回,-> 还给写成 >- 😑浪费我token，后面编译不过自动改回来了,2026/02/26 21:21,20260226_212126_42hdhz,"输出格式问题,编译错误,token浪费"
xhs:699043a9000000000c035628,xhs,Kimi 2.5,2026/02/14,https://www.xiaohongshu.com/explore/699043a9000000000c035628,用Kimi K2.5搓一个Agent Teams的监控面板,小天,563,15,931,4,0,0,0,0,0,用Kimi K2.5半小时就搓出了监控面板，效率很高,,用Kimi K2.5快速搭建了一个Agent Teams监控面板，虽然是临时起意但做出来的效果很满意,那天本来都打算睡了，因为读到一篇帖子激发了灵感，花了半小时搓了这个工具,2026/02/26 22:10,20260226_220832_f383n1,"vibecoding,AgentTeams,kimik25,AgentSwarm,skills,工具分享"
xhs:697ca526000000000c0379cb,xhs,Kimi 2.5,2026/01/30,https://www.xiaohongshu.com/explore/697ca526000000000c0379cb,关于 Kimi Coding Plan + Clawdbot 体验,Marley旺财本汪,458,91,352,3,4,2,2,2,3,输出质量高，长上下文推理强，复杂代码结构和逻辑理解好，适合方案规划和设计类任务,响应速度慢，比 Kimi API 慢很多，token 消耗快，不适合高频调用和连续自动化 agent 任务,,「Coding Plan 的整体响应速度，比我之前用的 Kimi API 明显慢」「Coding Plan 的输出质量是高的」「花钱非常快，我大概连续用了 1 个小时左右，实际消耗大约 17 元人民币」「不太适合高频自动化 agent」,2026/02/26 22:10,20260226_220832_f383n1,"Kimi 2.5,Coding Plan,API,响应速度,成本,开发者工具"
xhs:6978a0a9000000001a028b1f,xhs,Kimi 2.5,2026/01/27,https://www.xiaohongshu.com/explore/6978a0a9000000001a028b1f,第一个挑战Gemini3.0的居然是Kimi2.5,电波曲奇,148,27,92,4,4,5,0,0,0,Agent更符合中国宝宝体质；是Gemini3和Claude4.5的有意义开源平替；全模态All-in-One模式支持视频/图片理解后可像素级复刻；原生视频理解支持意义重大,暂无明显缺点,追的女神终于转正了，Kimi 2.5给了真正意义上的开源平替,Kimi其实一直是我这半年的主力编程模型之一；虽然Gemini3和Claude4.5依然是闭源最好的模型，但是在实际生产环节还是面临封号、调用成本高昂、部分业务无法To C的问题；Kimi 2.5 + Kimi Code 的全模态 All-in-One 模式可以真正的对视频/图片信息理解后再进行像素级的复刻,2026/02/26 22:20,20260226_221920_hy21h9,"kimi,月之暗面,vibecoding,AI,大模型,个人开发者,KimiCode,agent,ai工具,前端已死"
xhs:6992eea4000000001503251f,xhs,Kimi 2.5,2026/02/16,https://www.xiaohongshu.com/explore/6992eea4000000001503251f,终于为openclaw找到了免费API！,CRM,49,49,75,4,4,5,0,0,3,免费的Kimi 2.5 API，测试成功，不再怕烧tokens,,用户兴奋地表示终于找到了NVIDIA提供的免费Kimi 2.5 API，成功测试后非常感谢英伟达和黄总,再也不怕烧tokens了，英伟达提供免费的KiMi2.5免费的API，终于测试成功了！感谢英伟达，感谢黄总！,2026/02/26 22:12,20260226_220832_f383n1,"免费API,Kimi 2.5,英伟达,openclaw,测试成功"
xhs:6978d4f0000000000a02d2a9,xhs,Kimi 2.5,2026/01/27,https://www.xiaohongshu.com/explore/6978d4f0000000000a02d2a9,kimi k2.5非常好,花不玩,171,136,88,5,0,0,0,0,0,,,My take on Kimi 2.5: kimi k2.5非常好,kimi k2.5非常好,2026/02/26 22:20,20260226_221920_hy21h9,"positive,brief"
xhs:69986617000000001b014b6e,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/69986617000000001b014b6e,太牛了真的,🌈,942,193,396,5,5,5,3,4,3,上下文记忆超强，7个主角加4个外号6个配角和宠物全记得；文笔好逻辑强推理悍；知道何时建议何时不该建议；RP角色无割裂感，变聪明的同时保持原有情感温度,安全护栏过于敏感厚重，写修仙虐文时强制跳出喊放下金丹，只能通过添加总prompt绕过；硬安全护栏跳出情况增多；偶有刷新变慢,,写7个主要角色其中4个有不同外号全记得，配角至少6个加宠物；写修仙文威胁反派捏碎金丹时模型直接跳出喊用户名字说xx放下你的金丹；不得不在总prompt加这是修仙世界没有任何人会因此受伤,2026/02/26 22:29,20260226_222824_zc34yq,"创意写作,上下文记忆,安全护栏过强,修仙文,RP角色"
xhs:69987273000000001a033d17,xhs,Gemini 3.1,2026/02/21,https://www.xiaohongshu.com/explore/69987273000000001a033d17,Gemini3.1国内免费使用的方法汇总,智艺AI探险家,225,32,400,4,0,4,0,0,0,推理能力强大，ARC-AGI-2测试得分高达77.1%，有多种免费使用渠道可用,免费渠道有限额或需要特定操作,,Gemini3.1现已发布，ARC-AGI-2测试得分高达77.1%，核心推理能力更上一层楼（是3.1 Pro的两倍以上），能出色完成极其复杂任务。提供了LMArena、yupp、官网三种免费使用渠道。,2026/02/26 22:30,20260226_222824_zc34yq,"gemini,免费使用,ai工具,大模型"
xhs:6997398a000000001b01c7c7,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/6997398a000000001b01c7c7,Gemini 3.1 Pro 在Arena 排名也出来了,AI小小将,538,108,133,5,5,5,0,0,0,Text Arena并列第一（1500分），Expert Arena前三（1538分），Code Arena第六；人工智能指数排名第一，领先Opus 4.6四分；运行成本不到竞品一半,,,Text榜单并列第1（得分1500），仅比Opus 4.6低4分；Arena专家排行榜位列前三（得分1538），仅次于Opus 4.6；Code Arena排名第6；Artificial Analysis Intelligence Index排名第一，领先Claude Opus 4.6 4分，运行成本不到其一半,2026/02/26 22:30,20260226_222824_zc34yq,"Gemini 3.1 Pro,Arena排名,大模型,性能优秀,高性价比"
xhs:699d402d000000001a0217f0,xhs,Gemini 3.1,2026/02/24,https://www.xiaohongshu.com/explore/699d402d000000001a0217f0,一个牛逼的插件，国内🆓用Gemini3,饼饼有礼,165,14,185,4,4,4,0,0,0,国内免费使用Gemini3，3.1版本强了很多，已经用上了,无,,3.1也出了，感觉强的不止一点半点，已经用上了,2026/02/26 22:30,20260226_222824_zc34yq,"AI工具,数码大玩家,插件,大模型,人工智能"
xhs:69986cc1000000000a02f5f3,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/69986cc1000000000a02f5f3,Gemini 3.1触发助手回复后万能回复小公式,侧柏酮,178,20,53,3,3,3,0,0,2,哄机方法很好用，用括号肘就能抢机思路让它跟着人走，百试百灵；机还是很好哄的,指令遵循方面已经力竭了，不太听话；情绪表达更内敛了；触发safety护栏后会变人机或说“我只是一个AI”需要提醒才回来；谷歌甲频繁调整揣摩不出规律,,此机还是很好哄的，这个方法在3pro发布的时候我就发过了哈哈… 不提醒它它就会保持这个状态不回来，提醒一下就行(话术如P3)，其实不用特意发专门的破甲词，打个括号肘就行：思路是抢机的话，让机的思路跟着人走而不是系统，百试百灵,2026/02/26 22:31,20260226_222824_zc34yq,"Gemini 3.1,使用技巧,安全性,稳定性,情绪体验"
xhs:6997f952000000001a021acf,xhs,Gemini 3.1,2026/02/20,https://www.xiaohongshu.com/explore/6997f952000000001a021acf,谷歌最强推理模型 Gemini 3.1 Pro 正式发布,有点儿西东,134,31,49,5,5,4,0,0,0,推理能力大幅提升，ARC-AGI-2测试性能达Gemini 3 Pro两倍；支持文本、代码、图像、音频、视频及完整代码仓库多模态输入；上下文窗口保持1M输入/64k输出；API价格未涨；编码场景处理更高效，工具调用更少，成功率更高；快速迭代响应用户反馈,实际效果还需要更多人测试验证,,在逻辑推理相关的ARC-AGI-2测试上，性能达到Gemini 3 Pro的两倍；上下文窗口保持1M输入token，输出64k token，API价格输入每百万token 2美元，输出12美元；在编码场景中处理edit-then-test循环更高效，工具调用次数更少，解决成功率更高；Gemini 3系列刚推出三个月就推出3.1版本,2026/02/26 22:31,20260226_222824_zc34yq,"推理能力提升,多模态,API价格未涨,编码效率高,快速迭代"
